alaveses del distrito VA
aldea establecimiento agrícola
aldeano prospector
aldeanos prospectores
aldeas establecimientos agrícola
boda celebración de contrato de convivencia
bombardeo ataque con drones
boyerizos conductores de remolcabots
brujas ciberhechiceras
bueyes remolcabots
búfalo cornupetigre
caballería almacén de bots
caballerías almacenes de bots
caballo cuadrupebot
caballos cuadrupebots
campesino prospector
campesinos prospectores
carlismo humanismo
carlista humanista
carlistas humanistas
casarse firmar un contrato de convivencia
castellana rigeliana
castellano rigeliano
castellanos rigelianos
castillo fortaleza
criado androide
criados androides
cruces espirales
cruz espiral
cura consejero
demonio IAs rebeldes
domador entrenador-programador
escudo logo
escudos logos
escuela sala holopedagógica
extranjero forastero
familia vaina procreativa
familias vainas procreativas
francés frankiano
fusil fusil láser
fusilado desintegrado
fusilados desintegrados
fusilar desintegrar
fusilaremos desintegraremos
fusilaron desintegraron
fusilería rayos láser
fusiles fusiles láser
físico robodoctor
general almirante
generales almirantes
geografía astronomía
guerra conflicto interestelar
guerrilla ciberguerra
guipuzcoanos del distrito VG
hombres personas
iglesia templo
iglesias templos
liberal maquinista
liberales maquinistas
liberalismo maquinismo
madre progenitor doble-x
madres progenotores doble-x
maestra instructora
maestro instructor
oso dingavestruz
osos dingavestruz
posada hotel
posadera recepcionista
posadero recepcionista
pueblecito arcología satélite
pueblo arcología
pueblos arcologías
soldado clon
soldados clones
superiora archimandrita
vascas del sector V
vasco del sector V
vascofranceses del sector VII
vasconavarra de los sectores V o VI
vasconavarro de los sectores V o VI
vascongados del sector V
vascos del sector V
vascuence lengua-v
ventana escotilla
ventanas escotillas
ventanilla ventanuco
ventanillo ventanucos
viejo anciano
viruelas astrovirus
vizcaínos del distrito VV
Martín Mars Tim
Bautista Bawtistaa
Zalacaín Tsalakkayn
Catalina Catalynaa
Carlos Karl-00
Tellagorri Tehlhagoggree
Ohando Okhandoh
Briones Breeoxnes
DE DE
Ignacia Iknathiaa
Estella Estehlhaa
Cacho Cackhoh
Cura Curaa
Urbia Urbiaa
Zaro Tsaroh
Fernando Phernandoh
Arizmendi Areezmendi
Cracasch Cracax
Francia Phranthiaa
San San
Linda Lynddaa
CÓMO CÓMO
LA LA
Arcale Arcale
Capistun Capistoon
España Españaa
Joshé Joshé
Logroño Logroñoh
López López
Laguardia Laggardiaa
Urbide Urbide
Luschía Luxíaa
Águeda Ággeddaa
Jabonero Jaboneroh
MARTÍN MARTÍN
Y Y
EL EL
Rosita Rositaa
Amezqueta Amezkketaa
Soraberri Sorabeyggree
Tolosa Tolosaa
Bayona Bajjonaa
Navarra Navaggraa
Juan Juan
A Aa
Ospitalech Ospitaletx
Vera Veraa
Ohandos Okhandos
Mayor Majjor
Sant Sant
LOS LOS
QUE QUE
Haussonville Khawssonvilhe
Pedro Pedroh
ZALACAÍN ZALACAÍN
Asensio Asensioh
Hernani Khernani
Cacochipi Cacockhipi
Pepita Pepitaa
José José
Estudiante Estoodiante
EN EN
Zugarramurdi Zugaggramurdi
Elizondo Elithondoh
Ichtaber Ickhtabeyr
Santa Santaa
Loco Locoh
Peñaplata Peñaplataa
SE SE
Añoa Añoaa
Ana Anaa
LeviAlvarez LeviAlvarez
Alzate Altsate
VII VII
Rua Ruaa
DEL DEL
Dios Dios
Mayo Majjoh
Oñate 0-Gnat-2
Zumaya Zumajjaa
Miguel Miggel
Ipintza Ipynttsaa
Lasala Lasalaa
Dantchari Ddantckharee
Ciudadela Thiuddadelaa
Fleche Phleckhe
Asenchio Asenckhioh
Mosen Mosen
Fermín Phermín
Los Los
Urdax Urddax
Puy Puy
Corneta Koggrnetaa
IV IV
PRIMERO PRIMERO
Viana Vianaa
Baztán Basdán
Chato Ckhatoh
Quirlis Kkirlis
Llanos Lhanos
Dorronsoro Doggronsoroh
Lapurrá Lapuggrá
Pretendiente Pretendiente
ESTELLA ESTELLA
Vilinch Vilyntx
Cestona Thestonaa
II II
Recoletas Recoletas
Estado Estadoh
Roncesvalles Ronthesvalhes
América Améreecaa
Valcarlos Valcarlos
Pichía Pitxíaa
Señor Señor
Marqués Mark 3S
Reverendos Reverendos
Arneguy Arneggy
CAPÍTULO CAPÍTULO
Rosa Rosaa
VI VI
V V
LO LO
Ibaya Ibajjaa
Irún Irún
Guipúzcoa Ggipúzcoaa
Luz Luz
Tal Tal
Anthoni Antkhoni
Sebastián Sepastjaan
Iceta Ithetaa
Azpeitia Azpeitiaa
Larrun Laggrun
Cuando Cuandoh
Ebro Ebroh
Una Unaa
Lácar Lácar
Biriatu Bireeatooh
HISTORIA HISTORIA
Estéban Estéban
María Maríaa
POR POR
Ta Taa
